IP,jsonH1,jsonH2,getH1,getH2,postH1,postH2,hostname,ESNIsupport,TLS13support
178.62.64.136,False,False,True,False,True,False,178.62.64.136,False,False
124.70.83.172,False,False,True,True,True,True,ecs-124-70-83-172.compute.hwclouds-dns.com,False,False
185.255.55.25,False,False,True,True,True,True,doh-nl.dns.sb,False,True
51.158.66.31,False,False,True,True,True,True,manta.offline.net,False,False
95.211.44.91,False,False,True,True,True,True,twg001.timmes.nl,False,True
172.81.108.146,False,False,False,True,False,True,172.81.108.146,False,False
17.253.24.247,False,False,True,True,True,True,uschi5-doh-002.aaplimg.com,False,False
86.106.90.57,True,True,True,True,True,True,dns.nextdns.io,False,True
199.38.182.47,False,False,True,True,True,True,dns2.ord.hv.nominum.cloud,False,False
104.225.12.223,False,False,True,True,True,True,104.225.12.223,False,False
191.209.16.235,False,False,True,True,True,True,191-209-16-235.user.vivozap.com.br,False,False
210.130.0.3,False,False,False,True,False,False,ns14.iij.ad.jp,False,False
210.128.97.83,False,False,False,True,False,False,per-pure01.cns.2iij.net,False,False
210.138.123.78,False,False,False,True,False,True,pub-fsr1600.cns.2iij.net,False,False
69.70.16.42,False,False,False,True,False,False,zougloub.eu,False,False
160.119.253.209,False,False,True,True,True,True,server.foodtoyou.co.za,False,False
